Date,Open,High,Low,Close,Volume,Adj Close
2016-01-01,1279.0,1291.0,1272.55,1289.2,751800,1273.5408
2016-01-04,1286.0,1289.95,1253.3,1255.95,1844800,1240.6947
2016-01-05,1262.8,1269.0,1252.5,1256.9,1646700,1241.6332
2016-01-06,1259.0,1259.8,1235.0,1236.85,1819000,1221.8267
2016-01-07,1228.15,1228.35,1200.0,1206.4,3126500,1191.7466
2016-01-08,1215.1,1216.9,1175.0,1179.1,3570600,1164.7781
2016-01-11,1162.0,1184.9,1145.05,1173.35,2869500,1159.098
2016-01-12,1186.35,1200.0,1173.25,1179.15,2730100,1164.8276
2016-01-13,1194.0,1194.0,1128.1,1156.75,3746600,1142.6996
2016-01-14,1134.4,1155.0,1110.1,1134.65,3399800,1120.8681
2016-01-15,1139.9,1141.5,1100.0,1107.9,2658500,1094.443
2016-01-18,1106.0,1110.0,1074.0,1083.55,2777700,1070.3888
2016-01-19,1084.3,1132.5,1069.1,1122.95,2915000,1109.3101
2016-01-20,1100.95,1122.5,1077.35,1116.1,3904500,1102.5434
2016-01-21,1130.0,1137.6,1091.1,1102.7,2534700,1089.3061
2016-01-22,1115.9,1145.0,1110.3,1142.2,2463200,1128.3263
2016-01-25,1151.0,1157.85,1108.9,1114.15,1648500,1100.6171
2016-01-26,1114.15,1114.15,1114.15,1114.15,0,1100.6171
2016-01-27,1122.0,1122.0,1097.65,1107.8,1745400,1094.3443
2016-01-28,1101.0,1103.5,1070.0,1074.5,3863100,1061.4487
2016-01-29,1074.0,1109.0,1070.2,1101.65,3232600,1088.2689
2016-02-01,1125.0,1158.95,1110.1,1122.05,4702600,1108.4212
2016-02-02,1124.0,1145.0,1111.0,1121.9,3003700,1108.2730000000001
2016-02-03,1106.8,1120.0,1092.3,1108.8,2487700,1095.3321
2016-02-04,1119.0,1149.85,1118.2,1135.7,3971000,1121.9053
2016-02-05,1141.8,1152.0,1126.55,1139.9,2667200,1126.0543
2016-02-08,1141.0,1157.85,1120.4,1130.3,1692800,1116.5710000000001
2016-02-09,1115.0,1127.95,1102.4,1114.2,1682000,1100.6664
2016-02-10,1107.7,1130.0,1103.0,1120.6,2135900,1106.9887
2016-02-11,1118.7,1125.25,1079.0,1092.4,2930000,1079.1313
2016-02-12,1099.6,1102.5,1016.05,1053.65,4106800,1040.8519999999999
2016-02-15,1072.3,1154.7,1064.55,1149.4,3959400,1135.4389
2016-02-16,1157.9,1157.9,1099.3,1104.0,2365800,1090.5904
2016-02-17,1105.6,1133.7,1082.15,1122.45,2319600,1108.8162
2016-02-18,1134.4,1174.95,1133.0,1149.65,3638100,1135.6859
2016-02-19,1146.15,1168.9,1131.4,1150.5,2024500,1136.5256
2016-02-22,1150.0,1168.25,1140.2,1149.75,1369600,1135.7847
2016-02-23,1155.25,1156.0,1125.1,1130.15,1363700,1116.4228
2016-02-24,1122.0,1130.0,1110.0,1112.9,1210700,1099.3823
2016-02-25,1118.0,1120.0,1082.0,1086.45,1770100,1073.2535
2016-02-26,1092.5,1117.5,1092.3,1110.65,1518600,1097.1596
2016-02-29,1114.0,1123.5,1053.05,1076.0,3667300,1062.9305
2016-03-01,1087.0,1129.0,1081.0,1123.95,2431400,1110.298
2016-03-02,1143.0,1150.9,1133.2,1137.9,2434800,1124.0786
2016-03-03,1148.9,1211.2,1134.45,1207.1,3701900,1192.438
2016-03-04,1215.0,1223.95,1187.0,1193.2,2292600,1178.7069
2016-03-07,1193.2,1193.2,1193.2,1193.2,0,1178.7069
2016-03-08,1201.0,1212.0,1173.2,1187.45,2015100,1173.0267
2016-03-09,1182.4,1220.0,1178.0,1212.85,2080700,1198.1182
2016-03-10,1214.0,1221.5,1181.25,1186.15,1955100,1171.7426
2016-03-11,1188.95,1202.0,1171.3,1185.65,1997500,1171.2486
2016-03-14,1197.0,1206.65,1177.7,1184.2,1817500,1169.8162
2016-03-15,1188.7,1197.85,1175.55,1180.75,1629400,1166.4081
